"","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","Intercept",0.013,0.004,0.005,0.021,1.004,1579,2253
"2","sigma_Intercept",1.195,0.039,1.119,1.271,1.001,3779,3526
"3","tmeanpos",-0.023,0.007,-0.037,-0.01,1.003,1752,2803
"4","sigma_logn_samp",-0.011,0.005,-0.02,-0.001,1,3578,3156
"5","sigma_logduration",-1.175,0.013,-1.2,-1.15,1,3780,3681
"6","sigma_logextent_km2",-0.002,0.001,-0.005,0,1,3731,3414
