"","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","Intercept",0.02,0.005,0.01,0.03,1.004,1645,2383
"2","sigma_Intercept",1.467,0.027,1.414,1.521,1.002,3388,3157
"3","tmeanpos",-0.025,0.007,-0.039,-0.012,1.007,1508,2412
"4","sigma_logn_samp",-0.144,0.003,-0.15,-0.139,1.002,3253,3383
"5","sigma_logduration",-0.974,0.008,-0.99,-0.958,1.002,3440,3036
"6","sigma_logextent_km2",-0.03,0.001,-0.032,-0.029,1,4045,3658
