"","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","Terrestrial",-0.014,0.006,-0.025,-0.002,1,7609,7851
"2","Freshwater",-0.016,0.009,-0.033,0.001,1,7912,7424
"3","Marine",-0.016,0.005,-0.025,-0.007,1,7895,7889
"4","Terrestrial:change_tempmean",-0.077,0.135,-0.345,0.188,1,7995,7968
"5","Freshwater:change_tempmean",-0.065,0.152,-0.365,0.23,1,7331,7919
"6","Marine:change_tempmean",-0.289,0.107,-0.503,-0.081,1,7907,7808
