"","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","Terrestrial",-0.012,0.006,-0.023,-0.001,1.001,8029,7836
"2","Freshwater",-0.008,0.012,-0.032,0.016,1,7828,7790
"3","Marine",-0.012,0.006,-0.023,-0.001,1,8092,7747
"4","Terrestrial:change_tempmean",-0.363,0.123,-0.605,-0.116,1,7993,8058
"5","Freshwater:change_tempmean",-0.197,0.221,-0.625,0.244,1,7827,7765
"6","Marine:change_tempmean",-0.64,0.135,-0.908,-0.381,1,7987,7645
